ERROR|COMPILE_TIME_ERROR|UNDEFINED_GETTER|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|82|26|5|The getter 'bytes' isn't defined for the type 'PlatformFile'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|5|8|40|Unused import: 'package:url_launcher/url_launcher.dart'.
WARNING|STATIC_WARNING|UNNECESSARY_NULL_COMPARISON|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\screens\\beranda_screen.dart|77|18|7|The operand can't be 'null', so the condition is always 'false'.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|104|61|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|109|61|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|114|61|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|143|41|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|166|47|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|169|49|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|192|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|251|57|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\NabilaAP\\Documents\\aplikasi-fast\\aplikasi_vendor\\lib\\login_screen.dart|273|53|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
